名前	文明	種族	パワー	コスト	進化	効果	トリガー
The ブレー漢ズ	4	188,259	3000	2				
神秘の石柱	4	0		3				
「唯一の回転兵」	0,1	16,262	3500	4		12		
「機械の番犬」	0,1	262,183	2500	2		12		
反反-ロッカー	0,3	267,65	3500	3		6,12		
鉄鉄-プイパー	0,3	53,267	2500	3		12	2	
ペルソナフクロウ	1,4	266,224	2000+	3		6,12		
眼鏡妖精コモリ	1,4	70,266	2000	3		12		
コブシ童子	2,3	261,260	2000+	2		12	2	
ライマー・エビーフ	2,4	195,263	4000	6		12		
樹彫の占者	2,4	75,263	3000	2		12		
スーパーライト・ブラザーズ	3,4	188,259	5000	3		6,12		
怒流牙忍法 次元隠しの術	5	0		6				
希望のジョー星	5	187,188,0		3				
DG-パルテノン　～龍の創り出される地～	5	196,0		2				
錦糸王子 テンセル	0	122	5500	4		1		
裏斬隠 カタビラ	0	122,95	3500	4		1,31		
Dの劇場 テンダネス・エスセーキ	1	187,0		2				
シリウ・ヘブン	2	146	2000	7		1	1	
ダルピ・ルッピー	2	146	3000	3				
秩序の意志	2	0		4				
Dの夜街 ファンキー・ファンキー・タウン	2	187,0		6				
青銅のバンビシカット /「我が力、しかと見よ！」	3,4	72,109	1000	2(自然)/9(火)		12	1	
Dの森域 フィオナ・ザ・ハート	4	187,0		4				
凰翔竜機ワルキューレ・ルピア	0,3	50,59	6000	5		1,3,6,12		
パーロック・スマイリーストーリー	1,3,4	187,0		5		12		
透明妖精リリン / 妖精のプレリュード	5	122,70	2000	2/3				
綺羅王女プリン / ハンター☆エイリアン仲良しビーム	0,4	107,109	3000+	3(光)/9(自然)		1,12	1	
マリブ・リッキー	1	30	2000	4		1		
パーロックJr. / 新たなる旅立ち	1,4	122,28	3000	3(水)/9(自然)		12	1	
カシス・オレンジ / ♡応援してくれるみんなが元気をくれ～る	1	30	2000	2/4			1	
レイノ・ウッシ /「また引きずり込まれる～」	2	146	1000	2/4			1	
ブンブン万太郎	4	191,188	4000+	4		3		
恋愛妖精アジサイ	4	70	3000	4				
森夢のイザナイ メイ様	4	122,72	2000	3				
応援妖精エール /「みんな一緒に応援してね！」	3,4	70	2000	2(自然)/4(火)		12	1	
裏斬隠 カクシ・レシピ	1	95,30	3000	4		31		
カシス・ソーダ / ♡あたしたちがみんなに元気を届け～る	1	30	3000	3/4		1	1	
裏斬隠 ハットリトリ	2	95,146	3000	5		31		
裏斬隠 フォクシット	3	95,72	3000	4		6,31		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
特攻の忠剣ハチ公	3	109,104,93	3000	4		6		
忍者妖精ユリカマ	4	95,70	1000	4		31		
激浪のリュウセイ・スプラッシュ	1	103,109,114	5000	7				
灼熱のリュウセイ・ボルケーノ	3	103,109,108	5000	7				
大地のリュウセイ・ガイア	4	129,103,109	7000	7		3		
真羅万龍 リュウセイ・ザ・ファイナル	1,3,4	103,109,110	11000	21		3	2	
最終龍覇 グレンモルト	0,2,3	143,144,221	6000+	7		3,6,12	2	
姫様宣言プリンプリン	1,3,4	107,109,108	11000	9		3,6,12		
全員集合！アクア・三兄弟 / 超次元ジェイシーエイ・ホール	1	109,35	3000	3/7			1	
最終決戦だ！鬼丸ボーイ / 超次元オニシュラ・ホール	3	107,109,58	2000	5/6			1	
The 大親分 鬼流院 刃 /「アンノウンがナンボのモンじゃ！」	4	109,75	9000	7/3		3,6		
超次元リュウセイ・ホール	1,3,4	0		5		12		
始まりの龍装具 ビギニング・スタート	0,2,3	145		3				
終わりの天魔龍 ファイナル・ジ・エンド	0,2,3	147,143,148,150	7000+	5		1,3		
最終龍覇 ロージア	0	147,140,144	3500	6		1	1,2	
龍覇 ラブエース	0	147,140,144	3500	4			2	
最終龍覇 ボロフ	2	148,144,146	3000	7			1	
爆龍覇 リンクウッド /「お前の相手はオレだ、ザ=デッドマン！」	3	144,221	2000	2/4				
爆龍覇 ヒビキ	3	144,221	2000	4		6	2	
龍覇 グレンアイラ	0,2,3	144,221	3000	3		12	2	
東京ミステリーサーカスからの挑戦状	5	0		5			1	
幻龍 ゲンムエンペラー	1,2	282,281	12000	8		5,12	2	
罪無 ミズゲム垓	1	281,189	4000	3		1		
罪無 スピンナ極	2	281,41	9000	7		3		
真羅万龍 リュウセイ・ザ・ファイナル	1,3,4	103,109,110	11000	21		3	2	
真羅万龍 リュウセイ・ザ・ファイナル	1,3,4	103,109,110	11000	21		3	2	
罪無 バドミン垓	2	281,189	1000	3				
罪無 ビコハン極	1,2	281,189	2000	6		12	1	
戯具 ヴァイモデル	2	281,189	3000	5			1	
罪無 ドロキオ垓	1	281,189	3000	6		1	1	
戯具 ザンボロン	1	281,189	3000	1				
戯具 ドゥゲンダ	1,2	281,189	2000	2		12		
ゼーロJr.＆ゲンムエンペラー	1,2	282,281	4000	4		12		
∞龍 ゲンムエンペラー	1,2	283,281	∞	∞		1,12		
メテヲシャワァ・ヲヲロラシアタァ	1,3	4,284	12000	7		5,6,12		
月と破壊と魔王と天使	0,2	11,41,285	11500	7		1,3,12		
至宝を奪う月のロンリネス	0	11,285	6500	5		3		
混沌紳士 トリックスタァ	1	190,284	13000	9		5	2	
恒河沙 ベゴマ壊ン	2	281,41	7000	5		3	2	
「疾風」の鬼 フウジン天	3	261,260	3000+	3				
明日の鎖 ハヤブサツイン	4	75,286	8000	7		3,6	2	
闇の破王 デス・キング	0,2	192,41,285	6000	6		1,3,12		
我怒の鎖 パンサーベア	0,4	75,286	14000	8		5,6,12	2	
無量大龍 ドゥエ・ミリオーニ	1,2	287,281	11000	8		3,12	2	
驚言廻し コミックリリヰフ	1,3	190,284	11000	8		1,3,12		
「迅雷」の鬼 ライジン天	2,3	261,260	6000	6		3,12		
バークアステカA	3,4	188,259	11000	8		3,6,12		
魔軸の鎖 カメカメン	0	75,286	3000	3			2	
無量大龍 ノヴェ・シエントス	1	287,281	8000	7		3	2	
偽りの月を盗むファントム	2	41,285	6000	5		1,3		
絶対悪役 ヴィランヒヰル	3	190,284	6000	5		3		
ソウルフル・ズキンヘッド	4	188,259	6000	7		3		
影より出でて影に還るシャドウ	0,2	11,41,285	6000	4		3,12		
荒舞の鎖 ナマケイラ	0,4	75,286	7500	6		1,3,12	2	
那由多 アストロ宙ノ	1,2	281,189	5000	4		12		
シーラ・カンフー	1,3	192,190,284	6000	5		3,12		
「魂狩」の鬼 ガシャド髑髏	2,3	261,260	21000	3		12,32		
ダヴィンチ高度1000m	3,4	188,259	7000	6		3,6,12	2	
「祝え!この物語の終幕を!」	1,3	0,284		6		12		
罪恐!零MAX	1,2	0,281		4		12	1	
戯具 ヴォーバネ	1,2	281,189	4000	4		1,9,12		
殴厳!暴拳MAX	0,4	0,286		5		12	1	
剥盾!月光MAX	0,2	0,285		4		12	1	
命の灯を枯らすカタナ	0,2	11,41,285	5000	5		12		
アシダケ・ライフ	4	0		3				
鬼槍の一撃	3	0,260		6				
サイコロ町の半兵衛	3	188,259	3000	3				
昏き月のシニガミ	2	43,285	3000	3		9		
罪無 ブリキン極	2	281,189	6000	6		3	2	
雅役者 マチネソワレ	1	190,284	7000	6		3		
定めの月を待つセイジャ	0	81,285	8500	3		3		
モモダチトレーニング!!!	3,4	0,188,259		7		12	1	
百鬼の邪王門	2,3	0,260		6		12		
選伐!美孔麗MAX	1,3	0,284		2		12	1	
ブレイン・ブック	1	0		2			1	
聖武の鎖 レスラコーン	0	75,286	3500	3			2	
死を知らぬ月へのクモツ	0	20,285	3000	2		1		
循環の補い 利取	0	183	1000	2			1	
踊役者 サクラトガキ	1	190,284	4000	5		1		
罪無 ウォダラ垓	1	281,189	2000	5				
アクア・クリーナー	1	35	2000	2				
罪無 ゴグマ垓	2	281,189	7000	6		3	2	
百鬼の天邪閣	2	0,260		4				
無限皇帝の顕現	2	281,0		2				
考古学者 ヤマドキタケル	3	259	4000+	4				
ゼニガタ入道	3	261,260	3000	2			2	
「プレス！粉砕！大圧壊！」	3	0,284		3			1	
エナジー・フレイム	3	0		3				
破泡の鎖 スモウトード	4	75,286	6000+	6		3	2	
がんばれ！ガンバンジー	4	188,259	4000	6			1	
爆鳥の鎖 ナゲバード	4	72,286	4000	5		6	2	
夢見がちモッフル	4	72	2000+	2				
月の魔法ツカイ	0,2	43,285	5500	4		1,12		
月明かりに沈むニンギョ	0,2	43,285	2500	2		1,12		
暴衣の蝙蝠	0,4	75,286	7000	6		3,12		
振手の鎖 ヤワラヘッジ	0,4	75,286	6000	6		1,3,12	2	
戯具 ザンブロク	1,2	281,189	2000	3		1,12		
戯具 ドゥラッパ	1,2	281,189	1000	2		12		
応援者 オシヤバミ	1,3	190,284	4000	3		12		
裏方者 クロココケラ	1,3	190,284	1000	2		12		
アンダケ童子	2,3	261,260	4000	4		6,12	2	
ガラスのキッカー王子	3,4	188,259	5000	4		12		
貴不の鎖 マガタイル	0	10,286	5500	5			2	
倒伏の鎖 キックボック	0	15,286	4500	4			2	
奇石 サファイ	0	183	4000	4		1	1	
飛べない翼、それは堕ちたケモノ	0	14,285	2500	2			2	
月下の感情なきキカイ	0	90,285	2000	2				
ミスティ・ネイル	1	30	5000	4		1	1	
罪無 ビカビカ兆	1	281,189	3000	4				
観測者 オハコガクヤ	1	23,284	2000	2				
「見よ、これぞ超科学の神髄なり！」	1	0,284		3				
オオダテ入道	2	261,260	5000	4		1		
グルジェ・グルジェ	2	146	3000	3				
街に届かぬ月のアカリ	2	43,285	1000	2		1		
デーモン・バイツ	2	0		3			1	
魔王と天使のカナシミ	2	0,285		2				
無慈悲な取り立て	2	0		2				
クエイクザウルス	3	65	3000	5			1	
焔役者 シュラバミエ	3	59,284	4000	3				
スタコラ・チュリス	3	193	4000	2		6		
メガヒット・チャージャー	3	0		3				
スーパースチーム・ハエコロリ	3	0		2				
ひょうたん	4	195	13000	7		5		
トラノルデ1Q	4	188,259	5000	3				
増刀の鎖 シノブ	4	70,286	2000	2			2	
ハロウィンズ・カーニバル	4	0		4				
ラフレシア・トラップ	4	0		3			1	
愛に飢えたコロシヤ	0,2	43,285	4000	3		1,12		
夜に潜むケハイ	0,2	43,285	4500	2		12		
圧破の鎖 ナグルキツネ	0,4	75,286	2500+	3		12	2	
暴爪の猛牛	0,4	75,286	3000	2		12		
罪無 グルブル垓	1,2	281,189	6000	5		3,12		
道化者 ピエローグ	1,3	190,284	3000	4		6,12		
芸達者 ネタナラク	1,3	190,284	2000	2		12		
ドクバリ変怪	2,3	261,260	3000	3		12		
キタカゼマンA	3,4	188,259	2000	2		12		
勝熱龍主 モモキング	3,4	188,259,264	5000	4		6,12		
鬼ヶ大王 ジャオウガ	2,3	261,260	7000	5		3,6,12		
無量大龍 ツェン・ミリアルデン	1,2	287,281	11000	8		3,12	2	
捕封の鎖 テラエイプ	0,4	75,286	15000	9		5,6,12	2	
冥界を統べる新月のハーデス	0,2	11,41,285	15500	9		1,5,12		
劇の根源 マクガフィン	1,3	190,284	9000	5		3,6,12		
不可思議 ビダダ魔ン	1,2	281,41	9000	7		3,12	2	
暴筋の父豹	4	75,286	8000	6		3,6		
限りなく透明に近いワルツ	0,2	11,41,285	9000	7		1,3,12		
傾奇黙劇 アルレキヰノ	1	190,284	7000	7		3	2	
戯具 ヴォエテ	1,2	281,189	2000	4		12		
裏鍛の鎖 ポコアイアイ	4	75,286	5000	5			2	
月から来た科学のウラガワ	0,2	43,285	8500	6		1,3,12		
天幕船 ドンデンブタイ	1	190,284	2000	7		1		
戯具 ヴェイギュア	2	281,189	5000	8		1	1	
罪無 メリゴ垓	2	281,189	4000	4				
武鍵の鎖 スピンパンダ	0	75,286	2500	4			2	
暴刀の侍猫	0,4	75,286	5500	5		1,12		
兵器として産み落とされたカタチ	0	23,285	2000	6		1	1	
機械を絡繰るケムリ	2	43,285	1000	3		1		
手甲者 ロッポウツラネ	1	190,284	6000	3		1,3		
「生まれる前からやりなおしたら？」	1	0,284		6				
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
戯具 ザンパズル	1	281,189	2000	1		1		
罪無 ターボ兆	2	281,189	3000	3		1		
暴突の虹幻	0	21,286	4000	3				
スパダチ モンキッドR	4	188,259	2000	3				
蒼き守護神 ドギラゴン閃	0,3	153,155,164	13000	8		1,5,12		
聖霊龍騎サンブレード・NEX	0,3	50,11	6000	6		3,6,12		
チャラ・ルピア	0,3	59	1500	2		12		
ボルシャック・サイバーエクス	1,3	50,99	7000	6		3,6,12		
エヴォ・ルピア	0,1,3	59	4000	4		12		
月夜に巣食うマジョ	2	43,285	2000	3				
紅に染まるゼツボウ	0,2	48,285	1500	5		1,9,12	1	
響役者 ナリモノヤゴウ	3	157,284	4000	4		6		
照明者 イタツキバアタリ	3	190,284	5000	2				
拿繰の鎖 パンチフォックス	4	75,286	4000+	3			2	
鳳翔竜騎ソウルピアレイジ / 高貴なる魂炎	3	50,59,191	5000	5/7			1,2	
勝熱百覇 モモキングReVo	3,4	264,188,259	11000	7		3,6,12		
鬼ヶ王魔 エンド・ジャオウガ	2,3	261,260	17000	12		5,6,12		
剛力羅王 ゴリオ・ブゴリ	0,4	75,286	5000	4		6,12	2	
聖板龍 ジークシュトルツ	0	288,286	11000	7		3		
頻波羅 ビリヤ棒ド	1	99,281	9000	7		2,3	2	
月に彷徨うアビス	2	41,285	8000	6		1,3		
スパダチ キャンベロR	3	188,259	5000	4		6	2	
地封龍 ギャイア	4	289,286	18000	9		32		
断影龍 ユスティーツァ	0,2	290,285	13500	8		5,12		
兵繰凄の鎖 サイノ・ブサイ	0,4	75,286	9500	6		1,3,12	2	
無量大龍 トゥリナーツァッチ	1,2	287,281	13000	13		5,9,12		
結晶龍 プロタゴニスト	1,3	291,284	5000	4		12		
一王二命三眼槍	2,3	261,260	6000	5		3,6,12		
百万面相 トカゲ丸	3,4	188,192,259	16000	10		5,6,12		
三日月を謡うオラトリオ	0	11,285	8000	7		1,3		
偽代助演 スケプティック	1	59,284	4000	5		1		
無量大龍 ヌンラーン	2	287,281	9000	7		3	2	
傾国美女 ファムファタァル	3	190,284	4000+	6		6		
未謎の鎖 ブリタネッコ	4	75,286	4000	4			2	
黙示録、それはラグナロク	0,2	0,285		6		12		
震空の鎖 メタルモグラ	0,4	75,286	7000	6		3,12	2	
夢幻の無	1,2	281,0		∞		12		
N・S・Y	1,3	99,192,284	7000	6		3,6,12	2	
終の鬼術 死刀露	2,3	0,260		5		12		
スパダチ ケントナークR	3,4	188,259	6000	5		3,6,12		
フェアリー・ソング	4	0		4				
「時空さえも突き抜けろ！」	3	0,284		4				
初忍の鎖 ムテキホッグ	0	75,286	5000	5		1	2	
善悪を超えたハンザイ	0	0,285		5				
「我の全ての力を捧げる！」	1	0,284		7				
夢罪放免	1	281,0		5			1	
指示虫アロー・ワーム	2	45	3000	3				
バリバリ・ケドケド	2		2	2				
アンヤク夜叉	3	261,260	3000	4				
死の鬼術 鬼暴崩	3	0,260		4			1	
病に魅せられたヤミイシャ	0,2	43,285	3500	3		1,12		
影世界のシクミ	0,2	0,285		4		12	1	
暴座の羊駱駝	0,4	75,286	6000	5		3,12		
戯具 グリボックリ	1,2	281,189	1000	3		12		
虚数転生	1,2	281,0		6		12		
禅役者 ゲネプロリーハ	1,3	190,284	4000	5		6,12	2	
「刹那の美学は爆発だ！！」	1,3	0,284		4		12	1	
極悪！ 獄鬼夜城	2,3	187,0,260		2		12		
燃えろ！アポロソくん	3,4	188,259	5000	5		6,12	2	
千年の月のファラオ	0	11,285	4500	4				
暴投の針棺	0	23,286	1000	4				
紫の夜に幕を下ろすスパーク	0	0,285		6			1	
読役者 ハクダイホン	1	190,284	6000	6		1,3		
罪無 ユニゴー極	1	281,189	2000	4				
アクア・ウォッチャー	1	35	2000	2				
「さぁさぁ、お代は見てのお帰りだよ！」	1	0,284		4			1	
凶鬼57号 ゴーチン	2	189	3000	4				
コダマ入道	2	261,260	4000	2			2	
業王の破戒	2	281,0		7			1	
オオガマ童子	3	261,260	6000	5		3		
”乱振”のハンマー	3	53	2000	4				
スパダチ・ジェネレーション	3	259,0		3			1	
抹茶ップリン	4	188,259	6000	6		3	2	
暴鼓の猩々	4	75,286	6000	5			1	
聖夜妖精メリリス	4		1000	2				
ゴリミング・トラップ	4	0,286		6			1	
月に宛てたテガミ	0,2	43,285	4000	4		1,12		
月を閉じ込めたヒバナ	0,2	43,285	2000	3		12		
降壱の鎖 テキサスパンダ	0,4	75,286	5000	4		1,12		
暴布の北熊	0,4	75,286	3500	3		6,12		
罪無 ジョイダム垓	1,2	281,189	4000	5		12		
戯具 グリダコチャ	1,2	281,189	1000	3		9,12	1	
回転者 シャッセロアー	1,3	190,284	4000	3		12		
「伝説のサイバーパワー！」	1,3	0,284		3		12		
コオニ童子	2,3	261,260	2000	2		12		
モモモスモモモ・ダッシュ	3,4	188,259,0		3		12		
宣凶師マテオール	0	13	2500	4			1	
月面を目指したユメ	0	12,285	4000	3		1		
暴杖の羊飼	0	75,286	3000	3		1		
衝突の鎖 ワンパン	0	75,286	2000	2			2	
夜に吹くシト	0	10,285	1000	2				
シールド・チャージャー	0	0		4		7		
罪無 スネイグ垓	1	281,189	5000	4		1		
戯具 グリデンデ	1	281,189	1000	3				
子役者 ショニチラクビ	1	190,284	1000	2				
封魔ダンタリオ	1	38	1000	1		1	1	
「時間よ、戻れ！」	1	0,284		3				
罪無 ソフビ垓	2	39,281	3000	5				
ポイズンクロー・ドラグーン	2	54	1000	4		1	1	
光で切り裂くツバメ	2	146	2000	3		9		
死してなお蜜月のゲンショク	2	48,285	2000	2		1		
戯具 ドゥメンゴ	2	37,281	2000	2				
ヤモリ変怪	2	261,260	1000	1		9		
雨跳者 ホンアメヨージョウ	3	190,284	5000	5		6		
大翔勇士ヒロト	3	58	2000	4			1	
おむすびガトリン	3	188,259	5000	3				
ザイタク・チュリス	3	193	1000	3				
ネブダシ入道	3	52,260	1000	2				
にゃがぐつを履いたニャガ	4	188,259	4000	4				
呼織の鎖 マチョシビロ	4	75,286	2000	3			2	
フィットネス・カリフラワー	4	78	2000	2		6		
開運うれぴーマネッキー	4	72	1000	2			1	
カチカチジェットT.N.K.	4	188,259	3000	1				
終わり無き月々のトリヒキ	0,2	43,285	6000	5		1,3,12		
密かで華麗なるカイタイ	0,2	0,285		3		12		
暴立の小熊猫	0,4	75,286	5500	3		12		
天渚の鎖 イキリワニ	0,4	75,286	1000	2		12	2	
戯具 グリダルマ	1,2	281,189	2000	3		12		
戯具 ドゥパーボ	1,2	281,189	2000	2		12		
麗泳者 マツバメモノ	1,3	190,284	3000	3		6,12	2	
球遊者 イドコロガワリ	1,3	190,284	3000	2				
チョトツ変化	2,3	261,260	7000	3		3,12		
わらしべドリームメイカー	3,4	188,259	5000	4		12		
シザー・アイGR	1	222,24	3000	4				
爺モン＆婆ファンクル	3,4	188,259	6000	4		3,6,12		
ルナ・ブリッツホーク	1	27	3000	6				
剛撃聖霊エリクシア	0,4	11,68	3000+	7		1,12		
龍の呼び声	4	0		3				
黒神龍ゾルヴェール	2	44	4000	5		1		
超神龍バイラス・テンペスト	4	66	12000	8	8	5	2	
ボルシャック・スピード・ドラゴン	3	50	6000+	8		3,6		
U・S・A・NNYAA	0,3	267,193	500	2		12		
「新時代の福音」	0,1	11,262,183	9500	7		3,12		
月を象るデスサイズ	0,2	11,41,285	7000	6		1,3,12		
超救命主 タイヨー	0,3	11,192,267	5500	5		6,12	2	
世界獣龍 テライグニス・アクアエル	0,4	292,286	7000	7		3,6,12	2	
無量大龍 グーゴルプレックス	1,2	287,281	17000	12		5,12		
劇場戦艦 カァテンコヲル	1,3	190,284	6000	6		3,6,12		
ソーシャル・マニフェストⅡ世	1,4	99,266,224	6000	7		3,12		
「修羅」の鬼 アシュラ天狗	2,3	261,260	7000	6		1,3,6,12		
ガンヴィー龍樹	2,4	265,263	17000	11		5,12		
バックトゥーゴ・クーチャー	3,4	188,259	7000	8		3,6,12	2	
「超感覚の聖狗」	0	262,183	5500	5				
貴様の罪のジャッジメント	0	122,285	2000	3			2	
サイバー・V・チューブ	1	99,266	6000	5		3		
伝説演者 カメヲロォル	1	190,284	3000	2				
じゅくしてないゾンビバナナ	2	192,49,263	4000	9			1	
毘盛伽 ジョウ骨キ	2	281,189	1000	2		9		
震龍 ヴィガヴィガイザー	3	267,269	6000	5		3		
「契」の鬼 アカ焔とアオ霙	3	261,260	5000	5		6	2	
Shis－My－Tt2	4	188,259	7000	6		3,6	2	
暴歌の妖精	4	70,286	3000	3				
暴蹴の栗鼠	0	75,286	4500	4				
飛飛－ドロン	0	267,193	3500	3			2	
「敬虔なる警官」	1	262,183	4000	4				
零分後の世界	1	281,0		6			1	
ウラミ入道	2	261,260	7000	4		3	2	
特攻む月からのセンコウ	2	43,285	1000	3				
「空が真っ赤に燃え尽きる！」	3	0,284		4			1	
樹食の超人	4	68,263	12000	8		5,6		
遊戯の超人	4	68,266	2000	5				
「快速のハッチャキ」	0,1	28,262	3500	3		12	2	
魔王と天使のサイン	0,2	0,285		5		12	1	
U・S・A・SIIFU	0,3	267,193	7500	3		1,3,6,12		
遅丸の鎖 アチョーボア	0,4	75,286	3000	3		1,12	2	
罪無 オリガ極	1,2	281,41	8000	6		3,12	2	
撞木者 ロスキチョウ	1,3	190,284	2000	7		1,12	1	
配信妖精コスメ	1,4	70,266	2000	3		12		
タイホウ入道	2,3	261,260	4000	3		12	2	
ライマー・ランサー	2,4	195,263	14000	10		5,12		
弩闘！桃天守閣	3,4	187,188,259,0		5		12		
弩闘×十王超ファイナルウォーズ!!!	4	0		2				
下町のナポレたん	3	188,259	2000	6			1	
輪輪-チャリン	0	14,267	2000+	2				
暴発の土偶	4	13,286	2000	1		1		
ストリート・スパーク	0	267,0		5			1	
虹・望・一・体	0	262,0		2			1	
「諜報の名人」	1	262,35	3000	4		1		
【今すぐ】うわっ…相手の攻撃止めすぎ…？【クリック】	1	266,0		7			1	
夢見遊山	1	281,0		3			1	
「未来は努力で変えられる！」	1	0,284		1				
言祝ぎし神王のコンヤク	2	11,285	4000	5				
戯具 ドゥモグラ	2	281,189	1000	2				
不死樹の不思議温泉	2	263,0		4			1	
黒歴史の白詩集	2	285,0		3			1	
奇怪な鬼祭	2	260,0		1				
捧程者 アコギエレキ	3	190,284	5000	5		6		
灰かぶるほどキュート	3	188,259,0		3				
デモニオのファイナル砲撃	3	260,0		3			1	
にゃが年の恨みのニャガ	4	188,259	6000	3		3		
フェイバリット・ムーブ	4	286,0		3			1	
レインボー・マップ	4	263,0		1			1	
【ガチ】アイスバトルチャレンジ【対決】	4	266,0		1				
「青寂の鐘笛」	0,1	12,262	4500	6		1,12	1	
伝説の好敵手	0	11,140,183	21000	20		1,32		
ボルシャック・モモキング	3	50,188,293,295	6000+	5	8	3	1	
進化王来 モモキング	3,4	188,293	5000	4		6,12		
銀河の伝説	0,1	262,0		4		12		
聖邪を汲むミズドリ	0,2	11,41,285	8000	4		1,3,12	2	
月光の伝説	0,2	285,0		4		12		
ボンバーの伝説	0,3	267,0		4		12		
暴輪の妹豹	0,4	72,286	4500	3		1,12		
暴拳の伝説	0,4	286,0		4		12		
有象夢造	1,2	281,0		4		12	1	
零の伝説	1,2	281,0		4		12		
音監者 ズージャモタリ	1,3	190,284	4000+	4		3,12	2	
美孔麗の伝説	1,3	284,0		4		12		
マグヌマ・ダンベガルー	1,4	266,224	1000	5		12		
ウェイブの伝説	1,4	266,0		4		12		
クニトリ童子	2,3	261,260	7000	4		1,3,6,12	2	
νχ スプノックル	4	226,195,225	+2000	5				
鬼札の伝説	2,3	260,0		4		12		
樹瓜の菜将 カンバーナイト	2,4	41,78,263	6000	4		3,12		
不死樹の伝説	2,4	263,0		4		12		
切札の伝説	3,4	188,259,0		4		12		
呪われし悪魔のミッシツ	0	41,285	3000	6			1	
暴斬の姉豹	0	75,286	2500	4			1	
偽善と欺瞞のマリア	0	183,285	4000	3				
「黒刃の機士」	0	262,183	5500	2				
アクア・サバイテイク	1	266,35	2000	4			1	
戯具 グリリング	1	281,189	3000	3		1		
「巻貝の潜水兵」	1	30,262	2000	2				
責任者 メンゴメンゴ	1	190,284	1000	2				
カラクリ入道	2	42,260	3000	3				
戯具 ドゥコハン	2	281,189	2000	2				
不蠍虫ガタドコサ・ワーム	2	45,263	1000	1		1		
モッテケ・チュリス	3	267,193	2000	5			1	
ハクメイ童子	3	58,260	2000	4		6		
U・S・A・DANKU	3	267,193	3000+	3				
演出者 ガナリケコミ	3	53,284	1000	2				
ふくわラット	3	188,259	1000	1				
四代目 羅封屋ツェル之助	4	188,259	3000	4			2	
イルミツリー #夜景がやけに綺麗 #草 #草超えてツリー	4	266,71	3000	3		6		
ライマー・タロウ	4	195,263	2000+	3				
暴打の番狸	4	72,286	3000	1				
「夜明けの補給兵」	0,1	262,183	3500	2		12,33		
輝晶奇面アクロレイン	0,2	43,183,285	3000	2		12		
爆衆聖者トップアイト	0,3	10,267,193	3000	2		12		
暴芋の鋼体	0,4	78,286	3500	2		12		
戯具 ドゥミギ	1,2	38,281	2000	2		1,12		
海郷翔天マイギア	1,3	59,190,284	3000	2		12		
機生幻獣ケラパッド	1,4	266,224,72	3000	2		12		
イタチ変怪	2,3	261,260	3000	2		6,12		
大地妖魔ブラッドラサス	2,4	195,48,263	3000	2		12		
しらたき姫と七品の小人	3,4	188,259	3000+	2		12		
ボルシャック・ドラゴン GS	3	50	6000+	6		3	1	
ボルメテウス・ホワイト・ドラゴン GS	3	50	7000	7		3,34	1	
聖霊王アルファディオス GS	0	11,298	15500	10		5	1	
破壊龍神ヘヴィ・デス・メタル GS	2,3	84,4	39000	13		6,12	1	
邪眼皇ロマノフⅠ世 GS	2	40,44,89	8000	7		3	1,2	
神帝ルナティック・ゴッド GS	1,2	97,84	21000	21		3,12	1	
ガイアール・カイザー GS	3	109,108	7000	5		3,6	1	
「俺」の頂 ライオネル GS	5	120,125	13000	10		1,5	1	
武闘将軍 カツキング GS	3	132	11000+	8		3,6	1	
熱血星龍 ガイギンガ GS	3	143	9000+	7		3,6	1	
伝説の禁断 ドキンダムX GS	3	294	99999	99		5	1	
未来王龍 モモキング	3,4	188,264,293	6000	5		3,6,12		
ボルシャック・大和・モモキング	3	50,188,293,295	7000+	6	8	3	2	
モモキング -始丸-	3,4	188,264,293	4000+	4		6,12		
ドツキ万次郎 ＜GENJI.Star＞	3	50,188,293,295	7000	4	8	3	2	
ツタンカーネン ＜カゲキリ.Star＞	3	188,59,293,295	5000	3	8		2	
コッコ・ルピア GS	3	59	1000	3			1	
ブッパ・ハート	3	59,293	2000	2				
モエル・モヒッチ	3	59,293	1000+	3				
チョートッQ ＜グレガリ.Star＞	4	66,188,295,293	6000	4	8	3		
パーリギリス	4	188,293	3000	2				
フェアリー・Re:ライフ	4	0		2			1	
聖魔連結王 バロディアス	0,2,3	11,296,41	13000	8		5,12,28		
滅将連結 パギャラダイダ	0,2	11,296,41	9000	7		3,12,28		
